"t","a_x","a_y","a_z","a_abs"
3.044809667E0,9.607022095E-1,1.854568405E1,-1.583556976E0,1.863794512E1
3.054888667E0,-8.045768738E-1,1.269884262E1,-3.324736176E0,1.315149491E1
3.064968667E0,-2.025438080E0,7.568261719E0,-4.625830536E0,9.098312646E0
3.075047667E0,-2.210453339E0,2.816093903E0,-5.184019775E0,6.300043640E0
3.085126667E0,-2.266736298E0,-1.108894043E0,-3.891906738E0,4.638391693E0
3.095206667E0,-1.874551849E0,-4.103566589E0,-2.325563965E0,5.075573972E0
3.105285667E0,-8.613088989E-1,-5.651647339E0,-2.166893921E0,6.113787691E0
3.115364667E0,1.556762695E-1,-5.887856140E0,-2.799328766E0,6.521297920E0
3.125444667E0,4.529580688E-1,-5.134772186E0,-2.741249542E0,5.838279324E0
3.135523667E0,4.194277954E-1,-3.755390625E0,-1.534309387E0,4.078355516E0
3.145602667E0,3.234773254E-1,-2.177970886E0,3.489244080E-1,2.229336898E0
3.155681667E0,2.534230042E-1,-1.097966766E0,2.025288391E0,2.317659877E0
3.165761667E0,2.131567383E-1,-4.080514526E-1,3.088227997E0,3.122353911E0
3.175840667E0,2.761756897E-1,-2.395019531E-3,3.919748840E0,3.929466849E0
3.185919667E0,2.552192688E-1,2.103126526E-1,4.235741730E0,4.248632284E0
3.195999667E0,1.062789917E-1,2.820135498E-1,3.555855560E0,3.568604157E0
3.206078667E0,6.077362061E-2,4.041595459E-3,2.438279572E0,2.439040188E0
3.216157667E0,-1.101708984E-1,-4.504133606E-1,1.495839386E0,1.566060437E0
3.226237667E0,-2.636018372E-1,-6.897656250E-1,6.475534058E-1,9.821343896E-1
3.236316667E0,-9.325607300E-2,-7.039860535E-1,-2.007325745E-1,7.379611271E-1
